Tax Time Lodgment Page test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant No.,CustomID,IP Address,Date Started,Date Completed,User Agent,Total Time Spent,Avg Time Taken,Avg Page Views,1. Task. Task panel instructions,1. Task. Task panel instructions - Page Views,1. Task. Task panel instructions - Time Spent,2. Task. Task 1: Choosing a lodgment method,2. Task. Task 1: Choosing a lodgment method - Page Views,2. Task. Task 1: Choosing a lodgment method - Time Spent,9. Task. Task 2: Finding info on next steps,9. Task. Task 2: Finding info on next steps - Page Views,9. Task. Task 2: Finding info on next steps - Time Spent,"* Indicates required answers Please respond to the following based on the task you just completed. * ""I found it easy to find the right lodgment method.""","* ""I feel confident acting on the information on the website.""","* ""I found the content easy to read and understand.""",* Which lodgment method did you choose?,"Other, please specify",* What were your reasons for choosing that lodgment method?,Is there anything you would improve on this design?,"Please respond to the following based on the task you just completed: * ""Based on the information I found I would know what to do to submit my tax return.""","Based on this task, what would be the best method to lodge online?",Other,"Thank you for completing the session tasks, we have some quick questions to get your feedback about the overall experience you had today: How satisfied did you feel using this website?",I trust the information on the website.,I would use this section of the ato.gov.au website in the future.,I found it easy to find the information I was looking for.,The content and language was easy to understand.,Give us your feedback on how we can improve the tax time lodgment pages.,* Are you an ATO employee?,* Which of the following best describes you?,"Other, please specify (2)",Which age group do you belong to?
Participant 335,,180.149.192.136,11/05/17 14:16,11/05/17 14:25,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,584 secs,17.7,1.7,success,1,11,success,2,24,fail,2,18,Disagree,Disagree,Agree,Tax agent,,cause the instructions said I had a rental property. There should be more info about types of returns and where to go for help,why would people lodge with a tax agent - needs further explanation,Disagree,myTax,,Dissatisfied,Neither agree nor disagree,Disagree,Agree,Agree,before you click on the button for lodging - a little more info needs to be given on which method to choose,Yes,Individual,,26-45
Participant 338,,180.149.192.132,11/05/17 14:26,11/05/17 14:32,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,346 secs,32,1,success,1,13,fail,1,67,fail,1,16,Disagree,Disagree,Neither agree nor disagree,myTax,,i have lodged with mytax before and everything was in there,who can use each method shown in a clearer way,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,26-45
Participant 339,,119.161.94.94,11/05/17 14:27,11/05/17 14:33,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,333 secs,47.7,1.7,success,1,16,success,2,75,fail,2,52,Disagree,Neither agree nor disagree,Neither agree nor disagree,Tax agent,,"To be honest I wasn't really sure what the question was asking at first. Then I figured all three are legitimate ways to lodge, it's really about personal preference of whether someone wants the guidance of an expert.",,Agree,myTax,,Neither satisfied nor dissatisfied,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"I don't lodge my own tax returns so probably not the best person to ask. I was not clear what the difference is, if any, between my tax and my gov.",No,Small business,,26-45
Participant 340,,202.159.188.57,11/05/17 14:30,11/05/17 14:38,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",480 secs,104,3,success,1,14,success,6,142,fail,2,156,Strongly disagree,Disagree,Neither agree nor disagree,Tax agent,,because of the investment properties,Don't know,Neither agree nor disagree,myTax,,Dissatisfied,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,,No,Individual,,Older than 65
Participant 342,,220.101.113.10,11/05/17 14:55,11/05/17 14:59,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",291 secs,31.7,1.7,success,1,2,success,2,63,success,2,30,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Leana test - REMOVE,Leana test - REMOVE,Leana test - REMOVE,Neither agree nor disagree,Paper,,Neither satisfied nor dissatisfied,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Yes,,Leana test - REMOVE,26-45
Participant 343,,180.149.192.132,11/05/17 14:56,11/05/17 15:03,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,420 secs,30,2.7,success,1,3,success,4,45,success,3,42,Agree,Agree,Agree,myTax,,It was clear under 'who can use myTax' that rental property schedules were now available.,In the choose a lodgement type you could have some icons which might help a person choose quicker and correctly.,Agree,myTax,,Satisfied,Agree,Neither agree nor disagree,Agree,Agree,Looking good already.,Yes,Individual,,46-65
Participant 349,,180.149.192.132,11/05/17 15:32,11/05/17 15:41,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,556 secs,35.3,2,success,1,5,fail,3,45,fail,2,56,Disagree,Agree,Agree,myTax,,"Under ""find out more"" it says myTax can now be used with rental properties.","Just a line or two more saying ""this option generally for straight forward returns""; 'this option if your affais are more complex""; etc.",Agree,myTax,,Satisfied,Agree,Agree,Neither agree nor disagree,Agree,Just a little bit more information on the front page about the options.,Yes,Individual,,46-65
Participant 355,,180.149.192.132,11/05/17 16:44,11/05/17 16:51,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,393 secs,53,2,success,1,21,success,2,71,success,3,67,Neither agree nor disagree,Agree,Agree,myTax,,It said that I could use this method if I had rental schedules....language not ideal but I know what this means,"The language mention previously should indicate that I can use myTax when I have a rental property, etc.",Agree,myTax,,Satisfied,Agree,Agree,Neither agree nor disagree,Agree,,Yes,Individual,,46-65
Participant 357,,120.147.129.202,11/05/17 16:53,11/05/17 17:24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",1865 secs,273.3,2,success,2,253,fail,1,93,fail,3,474,Agree,Agree,Agree,Tax agent,,Tax agent knows most appropriate requirements for lodgement by an investor with four properties,,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,No,Tax agent,,Older than 65
Participant 359,,180.149.192.139,11/05/17 18:10,11/05/17 18:28,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1084 secs,96,3.3,success,1,21,fail,6,210,fail,3,57,Strongly disagree,Strongly disagree,Disagree,,I couldn't be certain based on the information under the myTax method. Tax agent method information did not provide any helpful advice. I opted to use the Do I need to lodge a tax return tool of which I only saw the link to on my 3rd attempt to work out where to go for the right information.,as previously explained on last question,"simplify the examples of who can use each lodgement type ie. people who want to lodge their own tax return, people who rental properties, or run a business as a sole trader then this method is for you.",Agree,myTax,,Satisfied,Agree,Agree,Neither agree nor disagree,Disagree,further simplify the examples of users for each lodgement type.,Yes,Individual,,46-65
Participant 363,,60.226.10.128,11/05/17 19:54,11/05/17 20:06,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",710 secs,37,1.7,success,1,17,success,2,19,fail,2,75,Strongly agree,Strongly agree,Strongly agree,Tax agent,,Multiple investments can get tricky if you don't know what you can claim,,Strongly agree,myTax,,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No,Individual,,26-45
Participant 364,,220.233.93.104,12/05/17 0:57,12/05/17 1:05,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,484 secs,64.7,1.3,success,1,21,success,2,102,fail,1,71,Agree,Neither agree nor disagree,Agree,Tax agent,,Investments can be complicated and depending on what type of investment - investing in houses using SMSF then an Accountant should be used.,No,Agree,myTax,,Satisfied,Agree,Neither agree nor disagree,Agree,Agree,,No,Small business,,46-65
Participant 369,,121.214.69.45,12/05/17 8:11,12/05/17 8:19,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",471 secs,63.7,2.7,success,1,3,abandon,4,132,fail,3,56,Strongly disagree,Strongly disagree,Disagree,,was unable to locate or work out which one. not very clear,no lodgement chosen - not very clear. would be better if there were more choices up front rather than having to click through various menus to find it,give more clearer options at the start rather than having to drill through various menus and go back to go to the next one to find what you are after,Agree,myTax,,Dissatisfied,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,as mentioned in task 1,No,,individual as well as family business owner,46-65
Participant 374,,180.149.192.136,12/05/17 9:01,12/05/17 9:08,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,398 secs,43,2,success,1,19,success,2,58,success,3,52,Disagree,Neither agree nor disagree,Agree,Tax agent,,It can get messy dealing with your own tax return along with any properties you own or investment properties. Sometimes its easier to ensure its done right and get a tax agent to do it,-,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,Maybe make the available options for how to lodge your tax return more clear and succinct. The options could be outlined at the top of the page as the very first thing you see and then follow the relevant steps from there according to each option.,Yes,Small business,,18-25
Participant 375,,180.149.192.134,12/05/17 9:22,12/05/17 9:28,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,360 secs,48.7,1.3,success,1,30,success,2,58,fail,1,58,Agree,Agree,Agree,Tax agent,,I prefer to use a tax agent to assist with deductions for investments.,No seems pretty straight forward,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,46-65
Participant 376,,180.149.192.132,12/05/17 9:36,12/05/17 11:26,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,6588 secs,44.7,1.7,success,1,75,success,2,44,fail,2,15,Agree,Agree,Agree,myTax,,Easiest,,Agree,myTax,,Satisfied,Agree,Strongly agree,Agree,Agree,,Yes,Individual,,26-45
Participant 379,,180.149.192.139,12/05/17 9:48,12/05/17 9:54,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,365 secs,38,1,success,1,32,fail,1,51,fail,1,31,Agree,Agree,Agree,Tax agent,,Complex tax deductions,no,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,26-45
Participant 380,,180.149.192.135,12/05/17 11:03,12/05/17 11:11,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,477 secs,53.7,1.3,success,1,80,success,2,31,fail,1,50,Strongly agree,Agree,Strongly agree,myTax,,I wanted to try it myself and if I had questions I would have gone to a registered agent.,I was able to find information in this design.,Strongly agree,myTax,,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,If I am struggling to complete information I should get some pop up prompts to guide me.,Yes,Individual,,46-65
Participant 381,,180.149.192.136,12/05/17 11:14,12/05/17 11:19,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,286 secs,40.3,2,success,1,12,success,2,21,fail,3,88,Strongly agree,Agree,Agree,myTax,,I'm familiar with the lodgement method so my eyes where drawn to that,,Disagree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,46-65
Participant 383,,210.193.176.131,12/05/17 11:28,12/05/17 11:33,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,325 secs,49.3,2.3,success,1,29,fail,3,76,success,3,43,Agree,Agree,Agree,myTax,,prefer to do it online than pay an agent. But want to make sure i dont commit any mistake and be fined by ATO,,Neither agree nor disagree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,No,"Individual, Sole trader/self-employed",,26-45
Participant 387,,119.225.114.57,12/05/17 12:35,12/05/17 12:41,"Mozilla/5.0 (iPad; CPU OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",316 secs,59,1,success,1,53,fail,1,75,fail,1,49,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,myTax,,Q,No,Neither agree nor disagree,myTax,,Neither satisfied nor dissatisfied,Agree,Agree,Agree,Agree,Q,No,Individual,,46-65
Participant 388,,180.149.192.139,12/05/17 13:03,12/05/17 13:09,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,359 secs,58.7,1.7,success,1,19,fail,1,87,success,3,70,Agree,Agree,Agree,myTax,,it was available on the website,,Strongly agree,myTax,,Satisfied,Agree,Agree,Strongly agree,Strongly agree,,Yes,Individual,,26-45
Participant 392,,49.195.181.148,12/05/17 13:41,12/05/17 13:53,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",722 secs,49.7,2,success,1,11,success,2,99,success,3,39,Disagree,Neither agree nor disagree,Neither agree nor disagree,Tax agent,,Tax gets complicated when you have property so I'd just use an agent ,I tried to search but it didn't work ,Agree,myTax,,Satisfied,Strongly agree,Disagree,Disagree,Agree,"I don't really know if I want to lodge myself or through an agent because I don't know how easy/time consuming it would be. You're expecting people to know what's involved in order to make a selection. What is the benefit to me? I assume previous lodgement behaviour would also be considered, as people would have vastly  different needs, ie. first time lodgers, vs paper dinosaurs",No,Individual,,26-45
Participant 394,,124.169.128.141,12/05/17 13:59,12/05/17 14:06,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G920I Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",434 secs,49.7,1.7,success,1,16,success,3,97,fail,1,36,Neither agree nor disagree,Agree,Agree,Tax agent,,Easier for a tax specialist to correctly prepare my investment properties for taxation reasons,No,Strongly agree,myTax,,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ato website is very good as as,No,Individual,,46-65
Participant 395,,180.149.192.135,12/05/17 14:50,12/05/17 14:55,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,277 secs,38.3,1.7,success,1,20,success,2,46,fail,2,49,Agree,Agree,Agree,myTax,,because I wanted to lodge it myself and online.,No,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,"The process on the website is fine, the wording in the tasks set up by beta testing make it hard to follow and they don't match the wording on the website, leading to confusion about what you want us to do.",Yes,Individual,,26-45
Participant 396,,121.127.214.91,12/05/17 14:56,12/05/17 15:03,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,418 secs,52,1.3,success,1,25,success,2,87,fail,1,44,Strongly agree,Strongly agree,Strongly agree,myTax,,"I usually use mytax anyway. In this hypothetical example of owning multiple houses, I checked that I could use mytax, and the program said it was ok.",,Strongly agree,myTax,,Satisfied,Strongly agree,Strongly agree,Agree,Agree,,No,Individual,,46-65
Participant 397,,180.149.192.133,12/05/17 15:24,12/05/17 15:32,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,474 secs,57,1.7,success,1,32,fail,3,96,fail,1,43,Agree,Agree,Agree,myTax,,"I first selected lodge with a registered tax agent, then went back and selected start your tax return with myTax - because I wasn't sure what my options were in the scenario of owning multiple investment properties - can I use myTax?",,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,Perhaps - what are my options for lodging section - this would give tax payers their options for lodgement depending on their situation,Yes,Individual,,26-45
Participant 398,,180.149.192.135,12/05/17 16:23,12/05/17 16:27,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,259 secs,32,1.3,success,1,13,success,2,71,fail,1,12,Agree,Agree,Agree,myTax,,as an individual I can use myGov to lodge ind tax returns.,no,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,NA,Yes,,enabling team,46-65
Participant 400,,120.17.105.244,12/05/17 18:16,12/05/17 18:28,"Mozilla/5.0 (Linux; Android 5.1.1; SAMSUNG SM-J105Y Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/3.5 Chrome/38.0.2125.102 Mobile Safari/537.36",742 secs,23.7,1.3,success,1,11,success,2,44,fail,1,16,Agree,Agree,Agree,myTax,,I like to doing online quicker however i still like to read the instructions on paper mostly to undetstand little things reading the screen is tedious and most people spend enough time at work looking at the screen. ,"Probably for 1st users i probably put a list of thing they will probably need like last income tax return, super details, bank accounts. I know the are easy to get but sometimes you need to look for it and is very annoying going back and foward.",Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,26-45
Participant 413,,203.55.28.231,15/05/17 9:17,15/05/17 9:32,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0,906 secs,90.3,2.3,success,1,101,fail,3,125,success,3,45,Neither agree nor disagree,Disagree,Agree,myTax,,"Well they all seemed the same to be honest, I'm not too sure how it related to the scenario? But figured online would have the most options so would include it?","UI wise its really pretty, but tax stuff is confusing, I guess I don't have much confidence I'm in the right area or looking for the right information when I don't understand tax at all.",Agree,myTax,,Satisfied,Strongly agree,Agree,Agree,Agree,"Its difficult because its quite confusing, I wonder if taking a different approach might be useful. For example you have a wizard like way of testing. Such as you come in and click on, I want to pay tax online, I work as a business person or clerk, I don't use my car for work and badabing badabam it already prefills up my most likely personality?",No,Individual,,26-45
Participant 414,,203.55.28.231,15/05/17 9:33,15/05/17 9:36,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0,190 secs,19.7,2,success,1,3,abandon,2,45,success,3,11,Neither agree nor disagree,Agree,Neither agree nor disagree,,Abandoned,Wasn't too sure which method to choose for the particular question,,Strongly agree,myTax,,Very satisfied,Strongly agree,Agree,Agree,Agree,,No,Individual,,18-25
